arc_id,point_order,x,y,genre,direction,total
2,30,490.6354088595675,675.4727258021364,Thriller,all,5621
2,31,497.78548075879587,673.0164825661102,Thriller,all,5621
2,32,504.8690949721889,670.3746898652203,Thriller,all,5621
2,33,511.88143728188606,667.5491431340033,Thriller,all,5621
2,34,518.8177419083609,664.5417626912586,Thriller,all,5621
2,35,525.6732947493749,661.354592434946,Thriller,all,5621
2,36,532.4434365838108,657.9897984530978,Thriller,all,5621
2,37,539.1235662382059,654.449667551686,Thriller,all,5621
2,38,545.7091437138357,650.7366057004457,Thriller,all,5621
2,39,552.1956932722213,646.8531363977131,Thriller,all,5621
2,40,558.5788064769633,642.8018989553866,Thriller,all,5621
2,41,564.854145189836,638.585646705179,Thriller,all,5621
2,42,571.0174445191043,634.2072451273766,Thriller,all,5621
2,43,577.0645157180609,629.6696699033822,Thriller,all,5621
2,44,582.9912490318136,624.9760048933592,Thriller,all,5621
2,45,588.7936164903861,620.1294400403567,Thriller,all,5621
2,46,594.4676746462372,615.133269202337,Thriller,all,5621
2,47,600.0095672543355,609.9908879135794,Thriller,all,5621
2,48,605.4155278929686,604.7057910769822,Thriller,all,5621
2,49,610.6818825235064,599.2815705888315,Thriller,all,5621
2,50,615.8050519873784,593.7219128976506,Thriller,all,5621
2,51,620.7815544385676,588.0305964987874,Thriller,all,5621
2,52,625.608007709968,582.2114893664476,Thriller,all,5621
2,53,630.2811316119979,576.2685463249121,Thriller,all,5621
2,54,634.7977501619071,570.2058063607311,Thriller,all,5621
2,55,639.1547937422602,564.0273898777184,Thriller,all,5621
3,0,476.28883026330897,710.7732523513824,Action,all,6890
3,1,466.3204794292749,713.05206277594,Action,all,6890
3,2,456.28440852358074,715.0112146529876,Action,all,6890
3,3,446.1908654130508,716.6487074857458,Action,all,6890
3,4,436.05015664957733,717.9628692246013,Action,all,6890
3,5,425.87263694606423,718.9523579744429,Action,all,6890
3,6,415.66869860319423,719.6161633648746,Action,all,6890
3,7,405.4487608978141,719.9536075819094,Action,all,6890
3,8,395.2232594437755,719.9643460600861,Action,all,6890
3,9,385.00263553609284,719.6483678343075,Action,all,6890
3,10,374.7973254893013,719.0059955510362,Action,all,6890
3,11,364.6177499808993,718.0378851388398,Action,all,6890
3,12,354.47430341075915,716.745025138619,Action,all,6890
3,13,344.37734328736855,715.128735694206,Action,all,6890
3,14,334.33717965174344,713.1906672043606,Action,all,6890
3,15,324.3640645498089,710.9327986375424,Action,all,6890
3,16,314.46818156399974,708.3574355111793,Action,all,6890
3,17,304.6596354147687,705.4672075374951,Action,all,6890
3,18,294.948441642622,702.2650659383025,Action,all,6890
3,19,285.3445163812158,698.754280431499,Action,all,6890
3,20,275.8576662319575,694.9384358923468,Action,all,6890
3,21,266.4975782504514,690.8214286929449,Action,all,6890
3,22,257.27381005501263,686.4074627236298,Action,all,6890
3,23,248.1957800673496,681.7010451003679,Action,all,6890
3,24,239.27275789538112,676.7069815625244,Action,all,6890
3,25,230.5138548680074,671.4303715657059,Action,all,6890
3,26,221.92801473150104,665.8766030746885,Action,all,6890
3,27,213.52400451701607,660.0513470617489,Action,all,6890
3,28,231.0061290935458,635.6715332747099,Action,all,6890
3,29,238.62226335042283,640.9506715364365,Action,all,6890
3,30,246.4031809741318,645.983774231421,Action,all,6890
3,31,254.34093684268913,650.7657020410377,Action,all,6890
3,32,262.4274256860356,655.2915721222084,Action,all,6890
3,33,270.65439036235523,659.5567630932894,Action,all,6890
3,34,279.01343028947167,663.5569197529815,Action,all,6890
3,35,287.4960100227115,667.2879575274392,Action,all,6890
3,36,296.0934679704768,670.7460666410459,Action,all,6890
3,37,304.79702523862625,673.9277160065867,Action,all,6890
3,38,313.59779459463414,676.829656830855,Action,all,6890
3,39,322.48678954237477,679.4489259320062,Action,all,6890
3,40,331.4549334982643,681.7828487652729,Action,all,6890
3,41,340.49306905939255,683.8290421539518,Action,all,6890
3,42,349.59196735417777,685.5854167228742,Action,all,6890
3,43,358.7423374660005,687.0501790318735,Action,all,6890
3,44,367.93483592019,688.2218334070735,Action,all,6890
3,45,377.1600762246793,689.0991834681266,Action,all,6890
3,46,386.4086384545842,689.6813333498412,Action,all,6890
3,47,395.6710788709215,689.967688616953,Action,all,6890
3,48,404.937939563644,689.9579568711054,Action,all,6890
3,49,414.19975810914474,689.6521480494177,Action,all,6890
3,50,423.44707723237076,689.0505744143388,Action,all,6890
3,51,432.67045446367945,688.153850234795,Action,all,6890
3,52,441.86047178057737,686.9628911589572,Action,all,6890
3,53,451.0077452244951,685.47891327927,Action,all,6890
3,54,460.1029344827804,683.7034318906957,Action,all,6890
3,55,469.13675242612373,681.6382599434403,Action,all,6890
4,0,207.08166874991986,655.3086709606322,Romance,all,3740
4,1,202.68226455492885,651.9240188605067,Romance,all,3740
4,2,198.34223031275963,648.4635665943156,Romance,all,3740
4,3,194.06287187474675,644.9283553603442,Romance,all,3740
4,4,189.8454768357841,641.319448850732,Romance,all,3740
4,5,185.69131414690585,637.6379329314236,Romance,all,3740
4,6,181.60163373347888,633.8849153154484,Romance,all,3740
4,7,177.5776661191186,630.0615252296257,Romance,all,3740
4,8,173.62062205544265,626.1689130747974,Romance,all,3740
4,9,169.7316921577746,622.2082500796902,Romance,all,3740
4,10,165.9120465469047,618.1807279485095,Romance,all,3740
4,11,162.16283449701854,614.087558502374,Romance,all,3740
4,12,158.48518408989761,609.9299733146969,Romance,all,3740
4,13,154.8802018754964,605.7092233406237,Romance,all,3740
4,14,151.34897253899783,601.4265785406383,Romance,all,3740
4,15,147.89255857444823,597.0833274984517,Romance,all,3740
4,16,144.51199996506824,592.6807770332855,Romance,all,3740
4,17,141.20831387033763,588.2202518066701,Romance,all,3740
4,18,137.98249431994742,583.7030939238739,Romance,all,3740
4,19,134.83551191471093,579.1306625300833,Romance,all,3740
4,20,131.7683135345248,574.5043334014574,Romance,all,3740
4,21,128.78182205346678,569.8254985311765,Romance,all,3740
4,22,125.8769360621169,565.0955657106127,Romance,all,3740
4,23,123.05452959718474,560.3159581057462,Romance,all,3740
4,24,120.31545187852532,555.4881138289564,Romance,all,3740
4,25,117.66052705362108,550.6134855063151,Romance,all,3740
4,26,115.09055394960882,545.6935398405133,Romance,all,3740
4,27,112.6063058329238,540.729757169552,Romance,all,3740
4,28,139.5494646610872,527.5363424349065,Romance,all,3740
4,29,141.800814516833,532.0347704804651,Romance,all,3740
4,30,144.12985264234413,536.4934712400981,Romance,all,3740
4,31,146.53587826491355,540.9111031574918,Romance,all,3740
4,32,149.01816744744866,545.2863370333325,Romance,all,3740
4,33,151.5759733062934,549.6178564252427,Romance,all,3740
4,34,154.20852623595428,553.9043580438788,Romance,all,3740
4,35,156.91503414066312,558.1445521450707,Romance,all,3740
4,36,159.6946826727068,562.337162917888,Romance,all,3740
4,37,162.54663547745236,566.4809288685107,Romance,all,3740
4,38,165.47003444499347,570.5746031997949,Romance,all,3740
4,39,168.46399996834307,574.616954186415,Romance,all,3740
4,40,171.5276312080937,578.606765545472,Romance,all,3740
4,41,174.66000636346678,582.5428368024535,Romance,all,3740
4,42,177.86018294966863,586.4239836524403,Romance,all,3740
4,43,181.12719808146971,590.2490383164441,Romance,all,3740
4,44,184.46006876292307,594.0168498927765,Romance,all,3740
4,45,187.85779218313237,597.7262847033367,Romance,all,3740
4,46,191.31934601798324,601.3762266347192,Romance,all,3740
4,47,194.8436887377449,604.9655774740352,Romance,all,3740
4,48,198.4297599204512,608.4932572393483,Romance,all,3740
4,49,202.07648057096523,611.9582045046252,Romance,all,3740
4,50,205.78275344563343,615.3593767191027,Romance,all,3740
4,51,209.54746338242933,618.6957505209758,Romance,all,3740
4,52,213.36947763648934,621.9663220453119,Romance,all,3740
4,53,217.2476462209384,625.1701072260985,Romance,all,3740
4,54,221.18080225290427,628.3061420923342,Romance,all,3740
4,55,225.16776230461485,631.3734830580729,Romance,all,3740
5,0,109.17823422786807,533.501687454426,Crime,all,3388
5,1,107.1164235655923,528.9155175104628,Crime,all,3388
5,2,105.12693002838807,524.2975164897387,Crime,all,3388
5,3,103.21024485053613,519.6488246424564,Crime,all,3388
5,4,101.36684128889635,514.9705897968205,Crime,all,3388
5,5,99.59717450605444,510.26396707562304,Crime,all,3388
5,6,97.90168145793535,505.5301186110262,Crime,all,3388
5,7,96.28078078591307,500.77021325761586,Crime,all,3388
5,8,94.73487271344152,495.98542630379507,Crime,all,3388
5,9,93.26433894723459,491.17693918158795,Crime,all,3388
5,10,91.8695425830162,486.34593917492776,Crime,all,3388
5,11,90.55082801586786,481.49361912649965,Crime,all,3388
5,12,89.30852085519183,476.62117714321045,Crime,all,3388
5,13,88.14292784431404,471.7298163003592,Crime,all,3388
5,14,87.05433678474441,466.8207443445806,Crime,all,3388
5,15,86.04301646511476,461.89517339563565,Crime,all,3388
5,16,85.10921659481119,456.9543196471214,Crime,all,3388
5,17,84.25316774231698,451.99940306617566,Crime,all,3388
5,18,83.47508127828223,447.0316470922502,Crime,all,3388
5,19,82.77514932333315,442.0522783350253,Crime,all,3388
5,20,82.15354470063505,437.0625262715429,Crime,all,3388
5,21,81.61042089321961,432.0636229426311,Crime,all,3388
5,22,81.14591200608777,427.0568026486959,Crime,all,3388
5,23,80.76013273309746,422.04330164495434,Crime,all,3388
5,24,80.45317832864384,417.02435783618597,Crime,all,3388
5,25,80.22512458413979,412.0012104710767,Crime,all,3388
5,26,80.07602780930182,406.97509983623,Crime,all,3388
5,27,80.00592481824646,401.9472669499229,Crime,all,3388
5,28,110.00536936653589,401.76471067336763,Crime,all,3388
5,29,110.06890020217975,406.32118422658345,Crime,all,3388
5,30,110.20401915437668,410.87609698941327,Crime,all,3388
5,31,110.41069286033348,415.42832428904353,Crime,all,3388
5,32,110.68887028936956,419.97674211573985,Crime,all,3388
5,33,111.03848275551707,424.52022740038063,Crime,all,3388
5,34,111.45944393448025,429.0576582917595,Crime,all,3388
5,35,111.95164988495054,433.58791443358575,Crime,all,3388
5,36,112.51497907427068,438.10987724111664,Crime,all,3388
5,37,113.14929240844327,442.6224301773517,Crime,all,3388
5,38,113.85443326647476,447.1244590287217,Crime,all,3388
5,39,114.63022753904767,451.61485218020374,Crime,all,3388
5,40,115.47648367151027,456.0925008897948,Crime,all,3388
5,41,116.3929927111746,460.5562995622762,Crime,all,3388
5,42,117.37952835890957,465.0051460222005,Crime,all,3388
5,43,118.43584702501761,469.43794178603446,Crime,all,3388
5,44,119.56168788938027,473.85359233339034,Crime,all,3388
5,45,120.75677296585843,478.2510073772783,Crime,all,3388
5,46,122.02080717093133,482.6291011333141,Crime,all,3388
5,47,123.3534783965564,486.9867925878143,Crime,all,3388
5,48,124.75445758723367,491.32300576471437,Crime,all,3388
5,49,126.22339882125391,495.63666999124246,Crime,all,3388
5,50,127.7599393961118,499.9267201622834,Crime,all,3388
5,51,129.3636999180623,504.1920970033686,Crime,all,3388
5,52,131.0342843957983,508.431747332226,Crime,all,3388
5,53,132.7712803382267,512.6446243188257,Crime,all,3388
5,54,134.574258856318,516.8296877438569,Crime,all,3388
5,55,136.4427747690055,520.9859042555736,Crime,all,3388
6,0,80.05724115571348,393.94763987301354,Adventure,all,3420
6,1,80.19348904060098,388.8736552284328,Adventure,all,3420
6,2,80.41020037999948,383.80246997694053,Adventure,all,3420
6,3,80.70732064924368,378.7353600309079,Adventure,all,3420
6,4,81.08477509274712,373.6736002773581,Adventure,all,3420
6,5,81.54246874281091,368.61846425720313,Adventure,all,3420
6,6,82.08028644351754,363.57122384482096,Adventure,all,3420
6,7,82.69809287970418,358.53314892805133,Adventure,all,3420
6,8,83.39573261100816,353.50550708869133,Adventure,all,3420
6,9,84.1730301109755,348.4895632835712,Adventure,all,3420
6,10,85.0297898112239,343.4865795262912,Adventure,all,3420
6,11,85.96579615064746,338.49781456969765,Adventure,all,3420
6,12,86.98081362965206,333.5245235891806,Adventure,all,3420
6,13,88.07458686940731,328.5679578668712,Adventure,all,3420
6,14,89.24684067609974,323.62936447681835,Adventure,all,3420
6,15,90.49728011017169,318.7099859712249,Adventure,all,3420
6,16,91.82559056052838,313.8110600678201,Adventure,all,3420
6,17,93.23143782369425,308.9338193384501,Adventure,all,3420
6,18,94.71446818789849,304.07949089896175,Adventure,all,3420
6,19,96.27430852206913,299.2492961004602,Adventure,all,3420
