imdb_id,title_ieee,year_ieee,imdb_rating,num_raters,num_reviews,runtime_min,mpaa,genres_ieee,genres_list,primary_genre,num_genres,release_date_parsed,id,title_tmdb,vote_average,vote_count,status,release_date,revenue,runtime,budget,original_language,popularity,genres_tmdb,production_companies,production_countries,year_tmdb,countries_list,primary_country,num_countries,tmdb_genres_list,tmdb_primary_genre,primary_company
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,6.5,708990,3843,136,PG,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,1999-05-19,1893,Star Wars: Episode I - The Phantom Menace,6.5,13550,Released,1999-05-19,924317558,136,115000000,en,46.845,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,1999.0,['United States of America'],United States of America,1,"['Adventure', 'Action', 'Science Fiction']",Adventure,Lucasfilm Ltd.
tt1228705,Iron Man 2,2010,7.0,701922,881,124,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2010-05-07,10138,Iron Man 2,6.835,19756,Released,2010-04-28,623933331,124,200000000,en,84.445,"Adventure, Action, Science Fiction","Marvel Studios, Fairview Entertainment",United States of America,2010.0,['United States of America'],United States of America,1,"['Adventure', 'Action', 'Science Fiction']",Adventure,Marvel Studios
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,7.5,690205,3553,140,PG-13,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,2005-05-19,1895,Star Wars: Episode III - Revenge of the Sith,7.411,12753,Released,2005-05-17,850000000,140,113000000,en,41.215,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,2005.0,['United States of America'],United States of America,1,"['Adventure', 'Action', 'Science Fiction']",Adventure,Lucasfilm Ltd.
tt1663202,The Revenant,2015,8.0,678829,1594,156,R,Action; Adventure; Drama; ,"['Action', 'Adventure', 'Drama']",Action,3,2016-01-08,281957,The Revenant,7.5,17114,Released,2015-12-25,532950503,157,135000000,en,36.747,"Western, Drama, Adventure","Monarchy Enterprises S.a.r.l., Regency Enterprises, Appian Way, CatchPlay, Anonymous Content, New Regency Pictures, Hong Kong Alpha Motion Pictures Co., M Productions, RatPac Entertainment","Canada, Hong Kong, Taiwan, United States of America",2015.0,"['Canada', 'Hong Kong', 'Taiwan', 'United States of America']",Canada,4,"['Western', 'Drama', 'Adventure']",Western,Monarchy Enterprises S.a.r.l.
tt0770828,Man of Steel,2013,7.0,675229,2747,143,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2013-06-14,49521,Man of Steel,6.614,14310,Released,2013-06-12,668045518,143,225000000,en,44.96,"Action, Adventure, Science Fiction","DC Entertainment, Syncopy, Peters Entertainment, Warner Bros. Pictures","United Kingdom, United States of America",2013.0,"['United Kingdom', 'United States of America']",United Kingdom,2,"['Action', 'Adventure', 'Science Fiction']",Action,DC Entertainment
tt0083658,Blade Runner,1982,8.1,673121,1541,117,R,Action; Sci-Fi; Thriller; ,"['Action', 'Sci-Fi', 'Thriller']",Action,3,1982-06-25,78,Blade Runner,7.931,12770,Released,1982-06-25,41722424,118,28000000,en,56.798,"Science Fiction, Drama, Thriller","Shaw Brothers, The Ladd Company, Warner Bros. Pictures","United States of America, Hong Kong, United Kingdom",1982.0,"['United States of America', 'Hong Kong', 'United Kingdom']",United States of America,3,"['Science Fiction', 'Drama', 'Thriller']",Science Fiction,Shaw Brothers
tt0097576,Indiana Jones and the Last Crusade,1989,8.2,672206,567,127,PG-13,Action; Adventure; ,"['Action', 'Adventure']",Action,2,1989-05-24,89,Indiana Jones and the Last Crusade,7.847,9301,Released,1989-05-24,474171806,127,48000000,en,52.439,"Adventure, Action","Paramount, Lucasfilm Ltd.",United States of America,1989.0,['United States of America'],United States of America,1,"['Adventure', 'Action']",Adventure,Paramount
tt0145487,Spider-Man,2002,7.3,671751,2124,121,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2002-05-03,557,Spider-Man,7.279,17653,Released,2002-05-01,821708551,121,139000000,en,63.478,"Fantasy, Action","Marvel Enterprises, Laura Ziskin Productions, Columbia Pictures",United States of America,2002.0,['United States of America'],United States of America,1,"['Fantasy', 'Action']",Fantasy,Marvel Enterprises
tt0480249,I Am Legend,2007,7.2,670748,1543,101,PG-13,Action; Adventure; Drama; ,"['Action', 'Adventure', 'Drama']",Action,3,2007-12-14,6479,I Am Legend,7.201,14675,Released,2007-12-12,585410052,101,150000000,en,59.815,"Drama, Science Fiction, Thriller","Village Roadshow Pictures, Weed Road Pictures, Original Film, Warner Bros. Pictures, Heyday Films, Overbrook Entertainment",United States of America,2007.0,['United States of America'],United States of America,1,"['Drama', 'Science Fiction', 'Thriller']",Drama,Village Roadshow Pictures
tt0378194,Kill Bill: Vol. 2,2004,8.0,663568,1022,137,R,Action; Crime; Thriller; ,"['Action', 'Crime', 'Thriller']",Action,3,2004-04-16,393,Kill Bill: Vol. 2,7.876,12916,Released,2004-04-16,152159461,136,30000000,en,37.053,"Action, Crime, Thriller","Super Cool ManChu, Miramax, A Band Apart",United States of America,2004.0,['United States of America'],United States of America,1,"['Action', 'Crime', 'Thriller']",Action,Super Cool ManChu
