imdb_id,title,year,imdb_rating,num_raters,num_reviews,runtime_min,mpaa,genres,genres_list,primary_genre,num_genres,release_date_parsed
tt1840309,Divergent,2014,6.7,416400,797,139,PG-13,Action; Adventure; Mystery; ,"['Action', 'Adventure', 'Mystery']",Action,3,2014-03-21
tt1515091,Sherlock Holmes: A Game of Shadows,2011,7.5,411748,446,129,PG-13,Action; Adventure; Mystery; ,"['Action', 'Adventure', 'Mystery']",Action,3,2011-12-16
tt1790864,The Maze Runner,2014,6.8,406551,612,113,PG-13,Action; Mystery; Sci-Fi; ,"['Action', 'Mystery', 'Sci-Fi']",Action,3,2014-09-19
tt0382625,The Da Vinci Code,2006,6.6,390693,2019,149,PG-13,Mystery; Thriller; ,"['Mystery', 'Thriller']",Mystery,2,2006-05-19
tt0217869,Unbreakable,2000,7.3,377965,1496,106,PG-13,Drama; Mystery; Sci-Fi; ,"['Drama', 'Mystery', 'Sci-Fi']",Drama,3,2000-11-22
tt0405094,The Lives of Others,2006,8.4,346768,510,137,R,Drama; Mystery; Thriller; ,"['Drama', 'Mystery', 'Thriller']",Drama,3,2007-03-30
tt1371111,Cloud Atlas,2012,7.4,338490,984,172,R,Action; Drama; Mystery; ,"['Action', 'Drama', 'Mystery']",Action,3,2012-10-26
tt0119174,The Game,1997,7.8,334123,631,129,R,Drama; Mystery; Thriller; ,"['Drama', 'Mystery', 'Thriller']",Drama,3,1997-09-12
tt1650062,Super 8,2011,7.0,332878,924,112,PG-13,Mystery; Sci-Fi; Thriller; ,"['Mystery', 'Sci-Fi', 'Thriller']",Mystery,3,2011-06-10
tt0286106,Signs,2002,6.7,330229,2413,106,PG-13,Drama; Mystery; Sci-Fi; ,"['Drama', 'Mystery', 'Sci-Fi']",Drama,3,2002-08-02
tt1182345,Moon,2009,7.9,327607,620,97,R,Drama; Mystery; Sci-Fi; ,"['Drama', 'Mystery', 'Sci-Fi']",Drama,3,2009-07-10
tt0118971,The Devil's Advocate,1997,7.5,319323,473,144,R,Drama; Mystery; Thriller; ,"['Drama', 'Mystery', 'Thriller']",Drama,3,1997-10-17
tt0166924,Mulholland Drive,2001,8.0,309859,1922,147,R,Drama; Mystery; Thriller; ,"['Drama', 'Mystery', 'Thriller']",Drama,3,2001-10-19
tt0368891,National Treasure,2004,6.9,297865,741,131,PG,Action; Adventure; Mystery; ,"['Action', 'Adventure', 'Mystery']",Action,3,2004-11-19
tt0120663,Eyes Wide Shut,1999,7.4,291877,1626,159,R,Drama; Mystery; Thriller; ,"['Drama', 'Mystery', 'Thriller']",Drama,3,1999-07-16
tt0944835,Salt,2010,6.4,289816,580,100,PG-13,Action; Mystery; Thriller; ,"['Action', 'Mystery', 'Thriller']",Action,3,2010-07-23
tt0071315,Chinatown,1974,8.2,284178,536,130,R,Drama; Mystery; Thriller; ,"['Drama', 'Mystery', 'Thriller']",Drama,3,1974-06-20
tt0278504,Insomnia,2002,7.2,266499,686,118,R,Drama; Mystery; Thriller; ,"['Drama', 'Mystery', 'Thriller']",Drama,3,2002-05-24
tt0808151,Angels & Demons,2009,6.7,266342,494,138,PG-13,Action; Mystery; Thriller; ,"['Action', 'Mystery', 'Thriller']",Action,3,2009-05-15
tt0118884,Contact,1997,7.4,247426,698,150,PG,Drama; Mystery; Sci-Fi; ,"['Drama', 'Mystery', 'Sci-Fi']",Drama,3,1997-07-11
tt2024469,Non-Stop,2014,6.9,245364,449,106,PG-13,Action; Mystery; Thriller; ,"['Action', 'Mystery', 'Thriller']",Action,3,2014-02-28
tt0452623,Gone Baby Gone,2007,7.6,244160,563,114,R,Crime; Drama; Mystery; ,"['Crime', 'Drama', 'Mystery']",Crime,3,2007-10-19
tt1401152,Unknown,2011,6.8,243861,385,113,PG-13,Action; Mystery; Thriller; ,"['Action', 'Mystery', 'Thriller']",Action,3,2011-02-18
tt0783233,Atonement,2007,7.8,241597,650,123,R,Drama; Mystery; Romance; ,"['Drama', 'Mystery', 'Romance']",Drama,3,2008-01-11
tt0368447,The Village,2004,6.5,237425,2060,108,PG-13,Drama; Mystery; Thriller; ,"['Drama', 'Mystery', 'Thriller']",Drama,3,2004-07-30
tt0414993,The Fountain,2006,7.2,224147,985,97,PG-13,Drama; Mystery; Romance; ,"['Drama', 'Mystery', 'Romance']",Drama,3,2006-11-22
tt0309698,Identity,2003,7.3,221013,772,90,R,Mystery; Thriller; ,"['Mystery', 'Thriller']",Mystery,2,2003-04-25
